Operation,Word,Frequency,Time Taken,Input Size
Add,abandon,1000.0,0.0001152999999999,100000
Search,abandoning,778900.0,1.0499999999996625e-05,100000
Autocomplete,ab,,0.0003275,100000
Add,abandoning,1000000.0,3.2999999999838714e-06,100000
Search,abandoning,778900.0,3.100000000005876e-06,100000
Autocomplete,ab,,0.000175,100000
Delete,abroad,,3.4999999999896225e-06,100000
Search,abroad,0.0,2.9000000000001247e-06,100000
Autocomplete,ab,,0.0001700999999999,100000
Add,abroad,331441.0,4.830000000000112e-05,100000
Autocomplete,ab,,0.0001896,100000
Autocomplete,distill,,1.4999999999987246e-05,100000
Search,distilling,181614.0,3.799999999998249e-06,100000
Add,distilling,1000.0,2.6999999999943736e-06,100000
Autocomplete,distilling,,3.900000000001125e-06,100000
Delete,distilling,,2.06000000000095e-05,100000
Delete,distilling,,5.100000000007876e-06,100000
Autocomplete,distill,,6.599999999995498e-06,100000
Add,distribution,100000.0,3.6399999999992e-05,100000
Delete,distraction,,3.799999999998249e-06,100000
Autocomplete,dist,,6.580000000000474e-05,100000
